participantnumbers,Infantage,sex,priorexpt,angry_dt_infancy,fearful_dt_infancy,happy_dt_infancy,nonface_dt_infancy,angry_dtntrial_infancy,fearful_dtntrial_infancy,happy_dtntrial_infancy,nonface_dtntrial_infancy,dtntrial_infancy_min,angry_dt_3yr,fearful_dt_3yr,happy_dt_3yr,nonface_dt_3yr,angry_dtntrial_3yr,fearful_dtntrial_3yr,happy_dtntrial_3yr,nonface_dtntrial_3yr,dtntrial_3yr_min,AngryHappy_dt_ratio_3yr,FearfulHappy_dt_ratio_3yr,AngryHappy_sl_ratio_3yr,FearfulHappy_sl_ratio_3yr,AngryHappy_dt_ratio_infancy,FearfulHappy_dt_ratio_infancy,AngryHappy_sl_ratio_infancy,FearfulHappy_sl_ratio_infancy,DifferentERPscores,AngryHappy_P400amp_ratio_infancy,FearHappy_P400amp_ratio_infancy,AngryHappy_P400lat_ratio_infancy,FearHappy_P400lat_ratio_infancy,AngryHappy_Ncamp_ratio_infancy,FearHappy_Ncamp_ratio_infancy,AngryHappy_N290lat_ratio_infancy,FearHappy_N290lat_ratio_infancy,AngryHappy_N290amp_ratio_infancy,FearHappy_N290amp_ratio_infancy,AngryHappy_P400amp_ratio_3yr,FearHappy_P400amp_ratio_3yr,AngryHappy_P400lat_ratio_3yr,FearHappy_P400lat_ratio_3yr,AngryHappy_Ncamp_ratio_3yr,FearHappy_Ncamp_ratio_3yr,AngryHappy_N290lat_ratio_3yr,FearHappy_N290lat_ratio_3yr,AngryHappy_N290amp_ratio_3yr,FearHappy_N290amp_ratio_3yr
859,7,1,3, , , , , , , , ,0, , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
860,12,1,3,.287119333333333,.293793333333333,.150088333333333,.1213268,3,3,6,5,3, , , , , , , , ,0, , , , ,.31342314064331,.323746193617668,.173427028015347,.18034643829652, , , , , , , , , , , , , , , , , , , , , 
861,12,0,3, , , , , , , , ,0,.83792,.5212,.376039,.8528,4,5,5,4,4,.380474958379978,.161786324491022,.213407342147841,.0225208668000688, , , ,.00568018263226452, , , , , , , , , , , , , , , , , , , , , 
862,12,1,3,.813543333333333,.882272,.638924,.506296666666667,6,5,5,6,5, , , , , , , , ,0, , , , ,.120222554632325,.15997149611227,.0355985272379829,.011321243536425, , , , , , , , , , , , , , , , , , , , , 
863,12,1,3, , , , , , , , ,0,.23494, ,.27416,.50968,1,0,2,2,0,-.0770379100373208, ,-.0455004503643858, , , , , , , , , , , , , , , , , , , , , , , , , , 
864,12,1,3,.419172,.387856,.385176666666667,.2585162,5,5,3,5,3,.66613,.79056,.793839,.31724,6,6,6,5,6,-.087473775128102,-.00206955444935267,.00757849681267073,-.00430874230229695,.0422644243002413,.00346600273037194,.0293693975403412,.00237451563579784, , , , , , , , , , , , , , , , , , , , , 
865,12,0,3,.36821,.901838,.780016,.615444,5,5,5,5,5, , , , , , , , ,0, , , , ,-.358645423461932,.0724331600721585,-.19575428413649,-.0830315304879416, , , , , , , , , , , , , , , , , , , , , 
866,12,0,3,.3919,.581384666666667,.29375,.86908,5,6,4,6,4,.8756,.89792,1,.82701,6,5,6,5,5,-.0663254425250586,-.0537851964255606, , ,.143148836870123,.328674748724387,-.0607733193697158,.0768863366902826, , , , , , , , , , , , , , , , , , , , , 
867,7,0,3, , , , , , , , ,0, , , , , , , , ,0, , , , , , ,.0221998353431309,-.175253082779074, , , , , , , , , , , , , , , , , , , , , 
868,12,1,3, , , , , , , , ,0,1,1,.9835,.92927,4,5,6,5,4,.00831862868666497,.00831862868666497, , , , ,-.0233008079011788,.323091376865482, , , , , , , , , , , , , , , , , , , , , 
869,12,0,3, , , , , , , , ,0,.39839,.36817,.87817,.17949,6,5,5,6,5,-.375838190135991,-.409198132130879,-.314648830072166,-.231029068344936, , , , , , , , , , , , , , , , , , , , , , , , , 
870,12,0,3,.440963,.85875,.856166666666667,.86269,6,5,6,5,5, , , , , , , , ,0, , , , ,-.320094187448235,.00150639000923268,.0375263578527212,.200017894139054, , , , , , , , , , , , , , , , , , , , , 
871,12,1,3, , , , , , , , ,0, , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
872,12,0,3,.3251066,.261146666666667,.181135,.241483333333333,5,3,4,3,3, , , , , , , , ,0, , , , ,.284393064497268,.180906586677419,.167566975441767,.100613177267807, , , , , , , , , , , , , , , , , , , , , 
873,12,0,3, , , , , , , , ,0,.506149,.44739,.29376,.46698,6,6,5,6,5,.265516452496471,.207285974499089,.107800484391218,.0438355282854637, , , , , , , , , , , , , , , , , , , , , , , , , 
874,7,0,3, , , , , , , , ,0, , , , , , , , ,0, , , , , , ,-.138878364140215,-.0183680269842025, , , , , , , , , , , , , , , , , , , , , 
875,7,0,3,.574871666666667,.636888333333333,.55203,.470241833333333,6,6,6,6,6,.829729,.66322,.75463,.92476,6,6,6,6,6,.0474002419906095,-.0644708537574497,.0987138426748905,-.153803799201709,.0202694408414813,.0713744005405475,.0328457173142685,.112020966853214, , , , , , , , , , , , , , , , , , , , , 
876,7,1,3,.235102,.375507333333333,.38208525,.225248333333333,5,6,4,6,4,.84609,.76453,.77095,.82718,6,5,6,5,5,.0464676198486123,-.00418110297757052,.0946903610700363,-.0999581084624238,-.23815017241526,-.00868265715818447,.0771957217990047,.0955456263324967, , , , , , , , , , , , , , , , , , , , , 
877,7,1,3, , , , , , , , ,0, , , , , , , , ,0, , , , , , ,-.0999490697600174,-.404243265712677, , , , , , , , , , , , , , , , , , , , , 
878,7,1,3,.475205,.561836666666667,.565118333333333,.278082,4,6,6,5,4,.95738,.874419,.89792,.65668,6,5,5,6,5,.0320487252735406,-.0132598786123874,.160491762209702,-.0967206290373227,-.0864282578813638,-.00291197666869274,-.0473627839928685,-.00471895489542384, , , , , , , , , , , , , , , , , , , , , 
879,12,0,3,.0848166666666667,.2860782,.137069333333333,.143596666666667,3,5,3,3,3,.921329,.784039,.917529,.53881,6,6,5,6,5,.00206649996900245,-.078451169744612,.103443991993926,-.0129759519780371,-.235493301364965,.352144003990413,-.0909054441507047,-.0493191001392805, , , , , , , , , , , , , , , , , , , , , 
880,12,0,3, , , , , , , , ,0,.54207,.430999,.43744,.37992,6,6,6,5,6,.106818715480189,-.00741675581128896,.0105120643418926,-.10855854875004, , ,-.010534225044136,.0588353303251207, , , , , , , , , , , , , , , , , , , , , 
881,12,0,3, , , , , , , , ,0, , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
882,12,0,3,.568333333333333,.587886666666667,.29872075,.555296666666667,3,3,4,3,3, , , , , , , , ,0, , , , ,.310952440586895,.326148768023878,.0535564112363442,.0804157148197611, , , , , , , , , , , , , , , , , , , , , 
